District,Total population,Population under age 18,Percent under age 18,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,Latino population,Percent Latino,White population,Percent white,Black population,Percent black,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with a vehicle,Percent of households with a vehicle,Population ages 25+,Adults without high school degree,Percent of adults without high school degree,Adults with bachelor's or higher,Percent of adults with bachelor's or higher,Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate,Households receiving public assistance/SNAP,Percent of households receiving public assistance/SNAP
State Senate District 1,95018,23340,0.246,11407,0.12,45091,0.475,49927,0.525,46316,0.487,28305,0.298,14590,0.154,5807,0.061,18513,0.195,35148,13175,0.375,16834,0.479,25716,0.732,58944,15131,0.257,12575,0.213,38803,92182,25070,0.272,45762,0.496,23073,8707,0.377,15199,0.659,11020,2074,0.188,4923,0.447,12638,0.36
State Senate District 2,96585,20054,0.208,13827,0.143,46038,0.477,50547,0.523,14288,0.148,24955,0.258,51949,0.538,5393,0.056,20899,0.216,37034,17695,0.478,15605,0.421,29054,0.785,64058,9965,0.156,17745,0.277,49211,91340,16366,0.179,32508,0.356,19799,5124,0.259,9959,0.503,13098,1768,0.135,4290,0.328,9972,0.269
State Senate District 3,100343,21970,0.219,14702,0.147,48672,0.485,51671,0.515,18441,0.184,57814,0.576,15649,0.156,8439,0.084,16987,0.169,39340,25889,0.658,14632,0.372,35785,0.91,70035,7275,0.104,21782,0.311,65214,99250,8915,0.09,23983,0.242,21538,2391,0.111,6828,0.317,14215,1152,0.081,3350,0.236,6030,0.153
State Senate District 4,100911,23063,0.229,15113,0.15,47892,0.475,53019,0.525,9991,0.099,70454,0.698,8520,0.084,11946,0.118,14326,0.142,40252,26957,0.67,12292,0.305,37417,0.93,70527,3929,0.056,33022,0.468,79480,99979,8394,0.084,18279,0.183,22918,2822,0.123,5824,0.254,14434,837,0.058,2441,0.169,4571,0.114
State Senate District 5,97737,21386,0.219,16942,0.173,46897,0.48,50840,0.52,7488,0.077,76361,0.781,4683,0.048,9205,0.094,15852,0.162,38312,28085,0.733,11192,0.292,35705,0.932,68689,3449,0.05,40972,0.596,95734,95809,6540,0.068,14380,0.15,21153,1526,0.072,3468,0.164,16105,1150,0.071,3059,0.19,2906,0.076
State Senate District 6,96685,21890,0.226,14028,0.145,47070,0.487,49615,0.513,30802,0.319,53288,0.551,7669,0.079,4926,0.051,16720,0.173,37466,18911,0.505,14674,0.392,32055,0.856,64333,10290,0.16,15631,0.243,49273,93657,16853,0.18,33990,0.363,21580,5687,0.264,10686,0.495,13440,1246,0.093,4268,0.318,9454,0.252
State Senate District 7,102107,19670,0.193,16390,0.161,53677,0.526,48430,0.474,7157,0.07,83701,0.82,5655,0.055,5594,0.055,6393,0.063,36638,29039,0.793,10203,0.278,35101,0.958,73622,6094,0.083,23796,0.323,81314,93844,5814,0.062,14740,0.157,19388,1714,0.088,3867,0.199,15719,634,0.04,3103,0.197,2785,0.076
State Senate District 8,96337,21753,0.226,16384,0.17,47682,0.495,48655,0.505,5506,0.057,84166,0.874,1359,0.014,5306,0.055,9070,0.094,37627,29848,0.793,11470,0.305,35697,0.949,68533,4258,0.062,33020,0.482,87070,95190,4985,0.052,13336,0.14,21552,1251,0.058,3150,0.146,15665,697,0.044,2833,0.181,2696,0.072
State Senate District 9,103128,19088,0.185,17710,0.172,49451,0.48,53677,0.52,9587,0.093,75980,0.737,7782,0.075,9779,0.095,15954,0.155,41935,27518,0.656,13058,0.311,38663,0.922,73451,5707,0.078,30053,0.409,74279,98342,7672,0.078,17009,0.173,18964,1952,0.103,3660,0.193,16720,1218,0.073,3926,0.235,4156,0.099
State Senate District 10,95842,22018,0.23,9461,0.099,45859,0.478,49983,0.522,21691,0.226,26764,0.279,39497,0.412,7890,0.082,15217,0.159,34450,11186,0.325,18987,0.551,25567,0.742,56461,9153,0.162,15425,0.273,36674,87637,23507,0.268,44215,0.505,21807,7739,0.355,14162,0.649,9003,1248,0.139,3405,0.378,10247,0.297
State Senate District 11,99088,18126,0.183,13386,0.135,46275,0.467,52813,0.533,24866,0.251,51101,0.516,15072,0.152,8049,0.081,15995,0.161,39161,16435,0.42,17911,0.457,31079,0.794,64851,7596,0.117,28823,0.444,52355,90985,16741,0.184,32111,0.353,17894,4797,0.268,8310,0.464,12834,1534,0.12,4355,0.339,6905,0.176
State Senate District 12,95117,19611,0.206,19723,0.207,45833,0.482,49284,0.518,3107,0.033,86718,0.912,985,0.01,4307,0.045,6266,0.066,37577,30627,0.815,12474,0.332,36232,0.964,69350,2932,0.042,34640,0.499,88721,94405,3880,0.041,10822,0.115,19411,795,0.041,2388,0.123,19272,729,0.038,3066,0.159,1866,0.05
State Senate District 13,96589,18414,0.191,16383,0.17,45918,0.475,50671,0.525,16516,0.171,68970,0.714,6475,0.067,4628,0.048,8738,0.09,39626,27224,0.687,12217,0.308,36221,0.914,71323,6963,0.098,22978,0.322,67022,95249,8748,0.092,20944,0.22,18260,2589,0.142,5850,0.32,15396,693,0.045,3322,0.216,7188,0.181
State Senate District 14,94641,18045,0.191,16626,0.176,46408,0.49,48233,0.51,7696,0.081,76582,0.809,4136,0.044,6227,0.066,10139,0.107,36977,27926,0.755,14205,0.384,34662,0.937,69843,4636,0.066,27011,0.387,80347,93961,6370,0.068,16734,0.178,17903,1587,0.089,3641,0.203,16167,1161,0.072,4041,0.25,2956,0.08
State Senate District 15,99770,25789,0.258,12003,0.12,48479,0.486,51291,0.514,34268,0.343,43291,0.434,16122,0.162,6089,0.061,15392,0.154,36224,17295,0.477,17250,0.476,29216,0.807,63541,12684,0.2,11568,0.182,40160,98342,24576,0.25,46201,0.47,25520,9218,0.361,15932,0.624,11530,1764,0.153,4726,0.41,10829,0.299
State Senate District 16,104301,22561,0.216,17247,0.165,52591,0.504,51710,0.496,10789,0.103,82221,0.788,7048,0.068,4243,0.041,10496,0.101,37775,27846,0.737,11198,0.296,35599,0.942,73268,6553,0.089,22788,0.311,77473,100976,6984,0.069,17949,0.178,22146,2177,0.098,5444,0.246,16678,964,0.058,3634,0.218,4652,0.123
State Senate District 17,99372,21881,0.22,14610,0.147,48018,0.483,51354,0.517,15345,0.154,63263,0.637,14051,0.141,6713,0.068,14381,0.145,36797,24883,0.676,14419,0.392,34161,0.928,68170,6429,0.094,21711,0.318,65573,98234,10339,0.105,22774,0.232,21769,3395,0.156,6610,0.304,14140,1024,0.072,3264,0.231,4656,0.127
