id,chamber,town
620L500US09055,House,Andover
620L500US09104,House,Ansonia
620L500US09053,House,Ashford
620L500US09017,House,Avon
620L500US09019,House,Avon
620L500US09062,House,Barkhamsted
620L500US09105,House,Beacon Falls
620L500US09030,House,Berlin
620L500US09083,House,Berlin
620L500US09089,House,Bethany
620L500US09002,House,Bethel
620L500US09107,House,Bethel
620L500US09066,House,Bethlehem
620L500US09015,House,Bloomfield
620L500US09055,House,Bolton
620L500US09139,House,Bozrah
620L500US09098,House,Branford
620L500US09102,House,Branford
620L500US09124,House,Bridgeport
620L500US09126,House,Bridgeport
620L500US09127,House,Bridgeport
620L500US09128,House,Bridgeport
620L500US09129,House,Bridgeport
620L500US09130,House,Bridgeport
620L500US09069,House,Bridgewater
620L500US09077,House,Bristol
620L500US09078,House,Bristol
620L500US09079,House,Bristol
620L500US09107,House,Brookfield
620L500US09050,House,Brooklyn
620L500US09076,House,Burlington
620L500US09064,House,Canaan
620L500US09047,House,Canterbury
620L500US09017,House,Canton
620L500US09047,House,Chaplin
620L500US09089,House,Cheshire
620L500US09090,House,Cheshire
620L500US09103,House,Cheshire
620L500US09036,House,Chester
620L500US09035,House,Clinton
620L500US09034,House,Colchester
620L500US09048,House,Colchester
620L500US09063,House,Colebrook
620L500US09008,House,Columbia
620L500US09064,House,Cornwall
620L500US09008,House,Coventry
620L500US09032,House,Cromwell
620L500US09002,House,Danbury
620L500US09107,House,Danbury
620L500US09108,House,Danbury
620L500US09109,House,Danbury
620L500US09110,House,Danbury
620L500US09138,House,Danbury
620L500US09141,House,Darien
620L500US09147,House,Darien
620L500US09036,House,Deep River
620L500US09104,House,Derby
620L500US09105,House,Derby
620L500US09114,House,Derby
620L500US09086,House,Durham
620L500US09101,House,Durham
620L500US09061,House,East Granby
620L500US09034,House,East Haddam
620L500US09034,House,East Hampton
620L500US09009,House,East Hartford
620L500US09010,House,East Hartford
620L500US09011,House,East Hartford
620L500US09096,House,East Haven
620L500US09099,House,East Haven
620L500US09037,House,East Lyme
620L500US09057,House,East Windsor
620L500US09059,House,East Windsor
620L500US09050,House,Eastford
620L500US09135,House,Easton
620L500US09057,House,Ellington
620L500US09058,House,Enfield
620L500US09059,House,Enfield
620L500US09036,House,Essex
620L500US09132,House,Fairfield
620L500US09133,House,Fairfield
620L500US09134,House,Fairfield
620L500US09019,House,Farmington
620L500US09021,House,Farmington
620L500US09047,House,Franklin
620L500US09013,House,Glastonbury
620L500US09031,House,Glastonbury
620L500US09063,House,Goshen
620L500US09064,House,Goshen
620L500US09062,House,Granby
620L500US09149,House,Greenwich
620L500US09150,House,Greenwich
620L500US09151,House,Greenwich
620L500US09045,House,Griswold
620L500US09040,House,Groton
620L500US09041,House,Groton
620L500US09086,House,Guilford
620L500US09098,House,Guilford
620L500US09036,House,Haddam
620L500US09088,House,Hamden
620L500US09091,House,Hamden
620L500US09094,House,Hamden
620L500US09047,House,Hampton
620L500US09001,House,Hartford
620L500US09003,House,Hartford
620L500US09004,House,Hartford
620L500US09005,House,Hartford
620L500US09006,House,Hartford
620L500US09007,House,Hartford
620L500US09062,House,Hartland
620L500US09076,House,Harwinton
620L500US09055,House,Hebron
620L500US09064,House,Kent
620L500US09044,House,Killingly
620L500US09051,House,Killingly
620L500US09035,House,Killingworth
620L500US09047,House,Lebanon
620L500US09048,House,Lebanon
620L500US09040,House,Ledyard
620L500US09042,House,Ledyard
620L500US09045,House,Lisbon
620L500US09047,House,Lisbon
620L500US09066,House,Litchfield
620L500US09076,House,Litchfield
620L500US09023,House,Lyme
620L500US09101,House,Madison
620L500US09009,House,Manchester
620L500US09011,House,Manchester
620L500US09012,House,Manchester
620L500US09013,House,Manchester
620L500US09048,House,Mansfield
620L500US09054,House,Mansfield
620L500US09055,House,Marlborough
620L500US09082,House,Meriden
620L500US09083,House,Meriden
620L500US09084,House,Meriden
620L500US09071,House,Middlebury
620L500US09082,House,Middlefield
620L500US09033,House,Middletown
620L500US09100,House,Middletown
620L500US09117,House,Milford
620L500US09118,House,Milford
620L500US09119,House,Milford
620L500US09112,House,Monroe
620L500US09038,House,Montville
620L500US09042,House,Montville
620L500US09139,House,Montville
620L500US09066,House,Morris
620L500US09070,House,Naugatuck
620L500US09131,House,Naugatuck
620L500US09022,House,New Britain
620L500US09024,House,New Britain
620L500US09025,House,New Britain
620L500US09026,House,New Britain
620L500US09125,House,New Canaan
620L500US09142,House,New Canaan
620L500US09108,House,New Fairfield
620L500US09138,House,New Fairfield
620L500US09062,House,New Hartford
620L500US09092,House,New Haven
620L500US09093,House,New Haven
620L500US09094,House,New Haven
620L500US09095,House,New Haven
620L500US09096,House,New Haven
620L500US09097,House,New Haven
620L500US09116,House,New Haven
620L500US09039,House,New London
620L500US09041,House,New London
620L500US09067,House,New Milford
620L500US09108,House,New Milford
620L500US09024,House,Newington
620L500US09027,House,Newington
620L500US09029,House,Newington
620L500US09002,House,Newtown
620L500US09106,House,Newtown
620L500US09112,House,Newtown
620L500US09064,House,Norfolk
620L500US09086,House,North Branford
620L500US09064,House,North Canaan
620L500US09087,House,North Haven
620L500US09043,House,North Stonington
620L500US09137,House,Norwalk
620L500US09140,House,Norwalk
620L500US09141,House,Norwalk
620L500US09142,House,Norwalk
620L500US09143,House,Norwalk
620L500US09046,House,Norwich
620L500US09047,House,Norwich
620L500US09139,House,Norwich
620L500US09023,House,Old Lyme
620L500US09023,House,Old Saybrook
620L500US09114,House,Orange
620L500US09117,House,Orange
620L500US09119,House,Orange
620L500US09131,House,Oxford
620L500US09044,House,Plainfield
620L500US09045,House,Plainfield
620L500US09022,House,Plainville
620L500US09078,House,Plymouth
620L500US09050,House,Pomfret
620L500US09032,House,Portland
620L500US09042,House,Preston
620L500US09089,House,Prospect
620L500US09051,House,Putnam
620L500US09002,House,Redding
620L500US09135,House,Redding
620L500US09111,House,Ridgefield
620L500US09138,House,Ridgefield
620L500US09029,House,Rocky Hill
620L500US09069,House,Roxbury
620L500US09037,House,Salem
620L500US09064,House,Salisbury
620L500US09047,House,Scotland
620L500US09105,House,Seymour
620L500US09064,House,Sharon
620L500US09113,House,Shelton
620L500US09122,House,Shelton
620L500US09108,House,Sherman
620L500US09016,House,Simsbury
620L500US09052,House,Somers
620L500US09011,House,South Windsor
620L500US09014,House,South Windsor
620L500US09069,House,Southbury
620L500US09131,House,Southbury
620L500US09030,House,Southington
620L500US09080,House,Southington
620L500US09081,House,Southington
620L500US09103,House,Southington
620L500US09047,House,Sprague
620L500US09052,House,Stafford
620L500US09144,House,Stamford
620L500US09145,House,Stamford
620L500US09146,House,Stamford
620L500US09147,House,Stamford
620L500US09148,House,Stamford
620L500US09149,House,Stamford
620L500US09045,House,Sterling
620L500US09043,House,Stonington
620L500US09120,House,Stratford
620L500US09121,House,Stratford
620L500US09122,House,Stratford
620L500US09061,House,Suffield
620L500US09076,House,Thomaston
620L500US09051,House,Thompson
620L500US09008,House,Tolland
620L500US09053,House,Tolland
620L500US09063,House,Torrington
620L500US09064,House,Torrington
620L500US09065,House,Torrington
620L500US09122,House,Trumbull
620L500US09123,House,Trumbull
620L500US09134,House,Trumbull
620L500US09050,House,Union
620L500US09008,House,Vernon
620L500US09056,House,Vernon
620L500US09045,House,Voluntown
620L500US09085,House,Wallingford
620L500US09086,House,Wallingford
620L500US09090,House,Wallingford
620L500US09103,House,Wallingford
620L500US09066,House,Warren
620L500US09069,House,Washington
620L500US09071,House,Waterbury
620L500US09072,House,Waterbury
620L500US09073,House,Waterbury
620L500US09074,House,Waterbury
620L500US09075,House,Waterbury
620L500US09038,House,Waterford
620L500US09068,House,Watertown
620L500US09018,House,West Hartford
620L500US09019,House,West Hartford
620L500US09020,House,West Hartford
620L500US09115,House,West Haven
620L500US09116,House,West Haven
620L500US09117,House,West Haven
620L500US09023,House,Westbrook
620L500US09035,House,Westbrook
620L500US09135,House,Weston
620L500US09136,House,Westport
620L500US09143,House,Westport
620L500US09028,House,Wethersfield
620L500US09029,House,Wethersfield
620L500US09053,House,Willington
620L500US09125,House,Wilton
620L500US09143,House,Wilton
620L500US09063,House,Winchester
620L500US09048,House,Windham
620L500US09049,House,Windham
620L500US09060,House,Windsor Locks
620L500US09005,House,Windsor
620L500US09015,House,Windsor
620L500US09060,House,Windsor
620L500US09061,House,Windsor
620L500US09080,House,Wolcott
620L500US09114,House,Woodbridge
620L500US09066,House,Woodbury
620L500US09068,House,Woodbury
620L500US09050,House,Woodstock
610U500US09004,Senate,Andover
610U500US09017,Senate,Ansonia
610U500US09035,Senate,Ashford
610U500US09008,Senate,Avon
610U500US09008,Senate,Barkhamsted
610U500US09017,Senate,Beacon Falls
610U500US09006,Senate,Berlin
610U500US09017,Senate,Bethany
610U500US09024,Senate,Bethel
610U500US09026,Senate,Bethel
610U500US09032,Senate,Bethlehem
610U500US09002,Senate,Bloomfield
610U500US09005,Senate,Bloomfield
610U500US09004,Senate,Bolton
610U500US09020,Senate,Bozrah
610U500US09012,Senate,Branford
610U500US09022,Senate,Bridgeport
610U500US09023,Senate,Bridgeport
610U500US09032,Senate,Bridgewater
610U500US09031,Senate,Bristol
610U500US09030,Senate,Brookfield
610U500US09029,Senate,Brooklyn
610U500US09005,Senate,Burlington
610U500US09030,Senate,Canaan
610U500US09029,Senate,Canterbury
610U500US09008,Senate,Canton
610U500US09035,Senate,Chaplin
610U500US09013,Senate,Cheshire
610U500US09016,Senate,Cheshire
610U500US09033,Senate,Chester
610U500US09033,Senate,Clinton
610U500US09033,Senate,Colchester
610U500US09008,Senate,Colebrook
610U500US09019,Senate,Columbia
610U500US09030,Senate,Cornwall
610U500US09035,Senate,Coventry
610U500US09009,Senate,Cromwell
610U500US09024,Senate,Danbury
610U500US09025,Senate,Darien
610U500US09027,Senate,Darien
610U500US09033,Senate,Deep River
610U500US09017,Senate,Derby
610U500US09012,Senate,Durham
610U500US09034,Senate,Durham
610U500US09007,Senate,East Granby
610U500US09033,Senate,East Haddam
610U500US09033,Senate,East Hampton
610U500US09003,Senate,East Hartford
610U500US09034,Senate,East Haven
610U500US09020,Senate,East Lyme
610U500US09003,Senate,East Windsor
610U500US09035,Senate,Eastford
610U500US09028,Senate,Easton
610U500US09003,Senate,Ellington
610U500US09035,Senate,Ellington
610U500US09007,Senate,Enfield
610U500US09033,Senate,Essex
610U500US09028,Senate,Fairfield
610U500US09005,Senate,Farmington
610U500US09006,Senate,Farmington
610U500US09019,Senate,Franklin
610U500US09004,Senate,Glastonbury
610U500US09030,Senate,Goshen
610U500US09007,Senate,Granby
610U500US09008,Senate,Granby
610U500US09036,Senate,Greenwich
610U500US09018,Senate,Griswold
610U500US09018,Senate,Groton
610U500US09012,Senate,Guilford
610U500US09033,Senate,Haddam
610U500US09011,Senate,Hamden
610U500US09017,Senate,Hamden
610U500US09035,Senate,Hampton
610U500US09001,Senate,Hartford
610U500US09002,Senate,Hartford
610U500US09008,Senate,Hartland
610U500US09008,Senate,Harwinton
610U500US09031,Senate,Harwinton
610U500US09019,Senate,Hebron
610U500US09030,Senate,Kent
610U500US09029,Senate,Killingly
610U500US09012,Senate,Killingworth
610U500US09019,Senate,Lebanon
610U500US09019,Senate,Ledyard
610U500US09019,Senate,Lisbon
610U500US09030,Senate,Litchfield
610U500US09033,Senate,Lyme
610U500US09012,Senate,Madison
610U500US09004,Senate,Manchester
610U500US09029,Senate,Mansfield
610U500US09019,Senate,Marlborough
610U500US09013,Senate,Meriden
610U500US09015,Senate,Middlebury
610U500US09032,Senate,Middlebury
610U500US09013,Senate,Middlefield
610U500US09009,Senate,Middletown
610U500US09013,Senate,Middletown
610U500US09014,Senate,Milford
610U500US09021,Senate,Monroe
610U500US09022,Senate,Monroe
610U500US09019,Senate,Montville
610U500US09020,Senate,Montville
610U500US09030,Senate,Morris
610U500US09015,Senate,Naugatuck
610U500US09017,Senate,Naugatuck
610U500US09006,Senate,New Britain
610U500US09026,Senate,New Canaan
610U500US09036,Senate,New Canaan
610U500US09024,Senate,New Fairfield
610U500US09008,Senate,New Hartford
610U500US09010,Senate,New Haven
610U500US09011,Senate,New Haven
610U500US09020,Senate,New London
610U500US09030,Senate,New Milford
610U500US09009,Senate,Newington
610U500US09028,Senate,Newtown
610U500US09008,Senate,Norfolk
610U500US09012,Senate,North Branford
610U500US09030,Senate,North Canaan
610U500US09011,Senate,North Haven
610U500US09034,Senate,North Haven
610U500US09018,Senate,North Stonington
610U500US09025,Senate,Norwalk
610U500US09019,Senate,Norwich
610U500US09020,Senate,Old Lyme
610U500US09020,Senate,Old Saybrook
610U500US09033,Senate,Old Saybrook
610U500US09014,Senate,Orange
610U500US09032,Senate,Oxford
610U500US09018,Senate,Plainfield
610U500US09031,Senate,Plainville
610U500US09031,Senate,Plymouth
610U500US09035,Senate,Pomfret
610U500US09033,Senate,Portland
610U500US09018,Senate,Preston
610U500US09016,Senate,Prospect
610U500US09029,Senate,Putnam
610U500US09026,Senate,Redding
610U500US09026,Senate,Ridgefield
610U500US09009,Senate,Rocky Hill
610U500US09032,Senate,Roxbury
610U500US09020,Senate,Salem
610U500US09030,Senate,Salisbury
610U500US09029,Senate,Scotland
610U500US09021,Senate,Seymour
610U500US09032,Senate,Seymour
610U500US09030,Senate,Sharon
610U500US09021,Senate,Shelton
610U500US09024,Senate,Sherman
610U500US09008,Senate,Simsbury
610U500US09007,Senate,Somers
610U500US09003,Senate,South Windsor
610U500US09032,Senate,Southbury
610U500US09016,Senate,Southington
610U500US09019,Senate,Sprague
610U500US09035,Senate,Stafford
610U500US09027,Senate,Stamford
610U500US09036,Senate,Stamford
610U500US09018,Senate,Sterling
610U500US09018,Senate,Stonington
610U500US09021,Senate,Stratford
610U500US09023,Senate,Stratford
610U500US09007,Senate,Suffield
610U500US09031,Senate,Thomaston
610U500US09029,Senate,Thompson
610U500US09035,Senate,Tolland
610U500US09008,Senate,Torrington
610U500US09030,Senate,Torrington
610U500US09022,Senate,Trumbull
610U500US09035,Senate,Union
610U500US09035,Senate,Vernon
610U500US09018,Senate,Voluntown
